playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Ante Rebić,33593899.12,36000000,2019,24,7,28,23,1978,9,4,46.7,2.73,0.15,0,311,56.2,45,30,,80,52,14,10,6,26,402,27.6,900,51.6,1195,687,57.5,77,47,116,40
Nabil Fekir,55572707.63,58500000,2018,24,3,30,28,2477,18,7,86,45,52.3,3,981,80.4,99,36,24,138,68,14,23,12,38,735,24.4,1619,65.2,1483,1184,79.8,52,68,169,40
Ángel Di María,33593899.12,36000000,2019,30,1,30,28,2324,12,11,97,32,33,0,1068,73.3,151,41,60,109,71,14,23,14,24,609,27.3,1766,58.7,1614,1363,84.4,52,11,165,0
Serge Gnabry,34198589.31,36000000,2018,22,3,22,20,1507,10,5,41.7,2.87,0.21,0,404,75.2,29,10,,63,39,13,13,7,30,342,27.8,766,58.9,787,531,67.5,42,20,106,26.3
Gabriel Jesus,46199861.27,50400000,2020,22,2,34,21,2030,14,7,102,43,42.2,0.14,532,87.5,6,13,,70,48,13,13,9,25,419,30.3,916,69.9,1090,686,62.9,51,26,119,35.4
Gonzalo Higuaín,21037436.83,22950000,2020,31,1,32,20,1866,8,4,42.7,3.62,0.11,0,539,83.3,12,13,,92,69,13,5,4,11,301,23.9,855,68.3,991,690,69.6,31,18,75,31.8
Rafael Leão,16499950.45,18000000,2020,20,6,31,12,1404,6,1,33.3,2.88,0.13,0,362,76.1,37,14,,59,42,13,7,3,8,196,24,649,65.1,779,537,68.9,32,16,70,46.8
Denis Bouanga,8708307.184,9500000,2020,24,17,26,23,2042,10,3,76,34,44.7,3,408,68,58,16,32,60,27,13,7,2,59,513,25.1,1029,53.3,1015,680,67,71,51,131,38
Luis Suárez,23099930.64,25200000,2020,32,2,28,22,1998,16,8,78,42,53.8,1,529,75.9,9,17,33,73,51,13,17,13,3,191,25.1,930,48.1,1146,777,67.8,38,15,66,41.7
Jordan Ayew,6839717.862,7200000,2018,25,18,36,33,2852,7,2,60,21,35,0.1,696,79,45,19,,63,30,13,4,1,72,938,24.7,1423,62.5,1485,1001,67.4,105,63,188,30.8
