index,min,gls,agls,assist,sh,ash,shgls,ashgls,cmpp,sca,press,pressp,touches,targ,,
240,20,0,82,0,1,515.92,0,0.15893937,100,1,6,33.3,13,13,,
241,77,1,83,0,6,521.92,0.166666667,0.159028204,80,7,26,7.7,35,48,,
242,29,0,83,0,0,521.92,0,0.159028204,87.5,0,14,7.1,15,18,,
243,78,0,83,0,3,524.92,0,0.158119332,84.2,3,23,21.7,34,33,,
244,90,1,84,0,4,528.92,0.25,0.158814187,80.6,2,24,8.3,44,45,,
245,73,1,85,1,4,532.92,0.25,0.159498611,74.3,3,26,23.1,45,49,,
246,70,0,85,0,3,535.92,0,0.158605762,75,3,17,17.6,41,49,,
247,16,0,85,0,1,536.92,0,0.158310363,50,0,2,0,7,9,,
248,78,1,86,0,1,537.92,1,0.159875074,83.2,2.65,17.54,25,35.67,40.07,,
249,78,2,88,1,4,541.92,0.5,0.162385592,81.8,6,32,9.4,43,58,,
250,87,2,90,0,2,543.92,1,0.16546551,67.9,3,21,33.3,39,46,,
251,90,0,90,1,4,547.92,0,0.164257556,87.1,4,20,20,45,54,,
252,75,1,91,1,3,550.92,0.333333333,0.165178247,93.9,2,11,9.1,55,63,,
253,64,1,92,2,2,552.92,0.5,0.166389351,83.2,2.65,17.54,25,35.67,40.07,,
254,78,0,92,0,0,552.92,0,0.166389351,83.2,2.65,17.54,25,35.67,40.07,,
255,90,0,92,0,2,554.92,0,0.165789663,88.6,5,18,33.3,41,54,,
256,88,0,92,1,1,555.92,0,0.165491438,83.2,2.65,17.54,25,35.67,40.07,,
257,120,0,92,0,1,556.92,0,0.165194283,83.2,2.65,17.54,25,35.67,40.07,,
258,90,0,92,0,1,557.92,0,0.164898193,83.2,2.65,17.54,25,35.67,40.07,,
259,90,1,93,0,6,563.92,0.166666667,0.16491701,70,3,15,40,53,57,,
260,88,1,94,0,5,568.92,0.2,0.165225339,87,4,19,63.2,62,76,,
261,90,1,95,0,4,572.92,0.25,0.165817217,83.3,3,25,24,37,50,,
262,89,1,96,0,3,575.92,0.333333333,0.166689818,85.7,4,21,19,30,52,,
263,87,0,96,0,1,576.92,0,0.166400887,85.2,3,14,42.9,37,45,,
264,79,0,96,0,1,577.92,0,0.166112957,84.8,0,19,21.1,50,50,,
265,78,0,96,0,1,578.92,0,0.165826021,85.7,0,14,21.4,27,46,,
266,70,0,96,0,2,580.92,0,0.165255113,96,1,56,21.4,38,39,,
267,19,0,96,0,0,580.92,0,0.165255113,100,0,4,0,13,14,,
268,90,0,96,0,2.5,583.42,0,0.164546982,83.2,2.65,17.54,25,35.67,40.07,,
269,90,1,97,0,2.5,585.92,0.4,0.165551611,83.2,2.65,17.54,25,35.67,40.07,,
270,22,0,97,0,0,585.92,0,0.165551611,100,2,4,25,7,11,,
271,89,1,98,0,4,589.92,0.25,0.16612422,87.5,2,33,33.3,45,58,,
272,90,1,99,0,4,593.92,0.25,0.166689116,88.9,2,26,23.1,30,31,,
273,4,0,99,1,0,593.92,0,0.166689116,100,1,4,0,2,2,,
274,90,2,101,0,5,598.92,0.4,0.16863688,75,2,23,30.4,35,35,,
275,90,0,101,0,3,601.92,0,0.167796385,92.3,4,24,20.8,19,32,,
276,89,0,101,0,4,605.92,0,0.166688672,83.3,7,13,15.4,59,65,,
277,90,0,101,0,4,609.92,0,0.165595488,90.3,1,7,14.3,52,64,,
278,42,0,101,0,1,610.92,0,0.165324429,80,1,6,50,37,31,,
279,90,0,101,0,6,616.92,0,0.163716527,89.7,9,20,40,47,49,,
280,90,0,101,0,3,619.92,0,0.162924248,69.2,4,10,50,48,49,,
